danceability,energy,key,loudness,mode,tempo,time_signature,track_id,genre
0.0,0.0,4,-9.983,1,160.839,1,TRAACTB12903CAAF15,Country
0.0,0.0,1,-11.335,0,137.29,4,TRAAGNL128F4299BF1,Country
0.0,0.0,5,-15.581,1,82.343,1,TRAAGOH128F42593CE,Country
0.0,0.0,3,-11.98,1,91.487,4,TRAAGPF12903CE027E,Country
0.0,0.0,7,-13.627,1,100.194,3,TRAAIAE128F42AC53D,Country
0.0,0.0,4,-18.114,1,152.267,3,TRAAJJV128F42A2F99,Country
0.0,0.0,7,-11.965,0,114.027,3,TRAALZC128F92E11A6,Country
0.0,0.0,2,-12.772,1,148.357,4,TRAAMKI128F428537A,Country
0.0,0.0,5,-17.308,1,159.582,3,TRAAMKW128F4249CF0,Country
0.0,0.0,4,-10.647,1,159.968,4,TRAAOEH128F426A82F,Country
0.0,0.0,7,-9.258,1,121.983,3,TRAAQUF12903CDF4A4,Country
0.0,0.0,2,-14.123,1,109.065,1,TRAAUWD128F930DD4E,Country
0.0,0.0,9,-9.668,1,165.668,3,TRAAVGB12903CFAA99,Country
0.0,0.0,1,-15.915,1,86.162,4,TRAAYRA128F92E9CC7,Country
0.0,0.0,5,-12.0,1,157.746,1,TRABDDP128F92FA843,Country
0.0,0.0,11,-14.014,1,157.779,4,TRABFGJ12903CF6A75,Country
0.0,0.0,0,-11.927,1,101.485,3,TRABLOM128F426BE8A,Country
0.0,0.0,2,-13.134,1,152.434,1,TRABLSO128F14A4707,Country
0.0,0.0,9,-10.225,1,101.662,4,TRABNNO128F9342FE3,Country
0.0,0.0,4,-8.942,1,155.896,4,TRABONH128F92D58DA,Country
0.0,0.0,0,-10.85,1,126.533,4,TRABSPB12903D1337A,Country
0.0,0.0,10,-11.937,0,102.731,4,TRABVIH128F92EDCDA,Country
0.0,0.0,7,-15.546,1,121.773,4,TRABZCL128E0789AED,Country
0.0,0.0,1,-16.504,0,146.894,1,TRABZRB128F423EFA9,Country
0.0,0.0,7,-13.12,1,90.61,4,TRACDCZ128F4285AE0,Country
0.0,0.0,2,-14.28,1,80.738,3,TRACFFX128F421E641,Country
0.0,0.0,5,-16.884,1,121.815,4,TRACGHL128F933FF2D,Country
0.0,0.0,0,-13.873,1,96.212,1,TRACHAL128F427DD25,Country
0.0,0.0,9,-4.994,0,201.951,4,TRACISV12903D13877,Country
0.0,0.0,4,-7.087,1,118.041,4,TRACJKR12903D02C75,Country
0.0,0.0,2,-11.663,1,74.809,4,TRACJWY12903CB7DBF,Country
0.0,0.0,9,-13.592,1,105.202,4,TRACLRS12903CE9386,Country
0.0,0.0,5,-11.851,1,98.117,1,TRACLUJ128F422DDA1,Country
0.0,0.0,8,-15.755,1,186.13,4,TRACMAD128F429742B,Country
0.0,0.0,10,-7.688,1,74.166,5,TRACOBC128F4266853,Country
0.0,0.0,7,-12.584,1,81.809,4,TRACOGY128F92FE95C,Country
0.0,0.0,6,-11.156,1,67.904,4,TRACOSY128F92F12B7,Country
0.0,0.0,2,-18.184,1,141.51,4,TRACTHF128F4295A22,Country
0.0,0.0,2,-9.89,1,140.659,1,TRACTMI128F931B412,Country
0.0,0.0,7,-18.118,1,185.246,5,TRADBBM128F930DC49,Country
0.0,0.0,7,-19.602,1,64.141,1,TRADCBA128F92E7161,Country
0.0,0.0,7,-5.864,1,223.34,4,TRADGIX128F9315B2D,Country
0.0,0.0,0,-11.537,1,119.963,1,TRADNRG128F426F18C,Country
0.0,0.0,2,-19.991,1,74.665,3,TRADNRG128F4295A0E,Country
0.0,0.0,11,-16.399,1,83.053,3,TRADOWO12903CD9BA2,Country
0.0,0.0,10,-11.611,1,104.799,4,TRADPPX128E078B0BC,Country
0.0,0.0,1,-10.002,1,122.022,4,TRADQHV128F92CD663,Country
0.0,0.0,11,-9.823,1,118.268,1,TRADQPB128F931A603,Country
0.0,0.0,11,-14.301,0,96.027,3,TRADRHX12903CCD1DF,Country
0.0,0.0,1,-21.511,0,92.326,4,TRADSIB128F93177AB,Country
0.0,0.0,0,-6.601,1,174.268,4,TRAEBKD12903D00D5C,Country
0.0,0.0,0,-14.073,1,99.435,4,TRAEBPG128F14AA0DA,Country
0.0,0.0,4,-10.261,1,221.858,4,TRAEEMP128F92F4B9C,Country
0.0,0.0,10,-14.172,0,95.655,4,TRAEGUL128E078B0C1,Country
0.0,0.0,5,-12.239,1,112.781,4,TRAEHOI12903CD02C8,Country
0.0,0.0,0,-12.193,1,174.785,4,TRAEHXW128F146F3C5,Country
0.0,0.0,7,-17.222,0,110.595,4,TRAEKCR128F14593A5,Country
0.0,0.0,5,-12.324,1,95.781,4,TRAELXD128F14A8B21,Country
0.0,0.0,2,-6.986,1,147.928,4,TRAENGY128F4272846,Country
0.0,0.0,11,-11.552,1,73.979,3,TRAEOUJ128EF352F8B,Country
0.0,0.0,3,-13.141,1,93.312,1,TRAEPGQ128F932AE6D,Country
0.0,0.0,4,-10.38,1,89.219,3,TRAEQQE128F42920E3,Country
0.0,0.0,2,-13.321,1,148.653,4,TRAEQZR128F92E9D73,Country
0.0,0.0,9,-20.832,1,116.539,4,TRAEUCH128F427FA5E,Country
0.0,0.0,0,-17.772,1,103.053,5,TRAEWYQ128F9306C38,Country
0.0,0.0,4,-10.164,1,116.829,4,TRAFAKH128F9339643,Country
0.0,0.0,2,-9.322,1,108.417,4,TRAFKDF12903D09556,Country
0.0,0.0,7,-15.354,1,108.128,4,TRAFNMJ128F92D15D8,Country
0.0,0.0,0,-11.51,1,174.437,4,TRAFQAJ128F429458C,Country
0.0,0.0,9,-26.997,1,142.398,4,TRAFSGJ12903CAA742,Country
0.0,0.0,2,-13.558,1,69.704,1,TRAFVDV128F42936BA,Country
0.0,0.0,0,-17.896,1,114.028,3,TRAFVEB128F933CA60,Country
0.0,0.0,7,-12.581,1,112.88,4,TRAGAVF128F424829B,Country
0.0,0.0,9,-13.644,1,114.382,4,TRAGCTZ128F4290974,Country
0.0,0.0,7,-10.294,1,96.716,4,TRAGDVU12903CDCD8B,Country
0.0,0.0,8,-12.144,1,95.981,4,TRAGEXH12903CB4C10,Country
0.0,0.0,5,-11.14,1,133.428,1,TRAGGHA128F4262D55,Country
0.0,0.0,6,-11.958,1,82.789,5,TRAGJQL128E078E840,Country
0.0,0.0,0,-14.573,1,100.398,4,TRAGKFX128F9308791,Country
0.0,0.0,2,-11.852,1,120.546,4,TRAGKLF128F9315B67,Country
0.0,0.0,7,-18.169,1,118.472,4,TRAGUAA128F4291AB1,Country
0.0,0.0,7,-13.027,1,90.81,3,TRAGUCZ128F426E5F6,Country
0.0,0.0,1,-13.136,1,196.303,4,TRAGXUZ128F9311745,Country
0.0,0.0,0,-8.278,1,126.618,4,TRAHABN12903CBD3C5,Country
0.0,0.0,9,-16.261,1,142.479,4,TRAHCRI128F4255C6E,Country
0.0,0.0,8,-18.891,1,80.016,7,TRAHDSO128F426B033,Country
0.0,0.0,2,-8.592,1,84.069,4,TRAHHAY12903CD8B6F,Country
0.0,0.0,6,-14.712,0,101.335,4,TRAHODY128F92F6CB6,Country
0.0,0.0,4,-6.156,1,155.926,4,TRAHOSZ12903CA58F1,Country
0.0,0.0,6,-21.685,1,76.125,1,TRAHOVC128F4297419,Country
0.0,0.0,0,-15.987,1,86.197,4,TRAHQHC128F42A77D8,Country
0.0,0.0,1,-15.912,0,142.782,3,TRAHQKV12903CB6CA9,Country
0.0,0.0,6,-16.866,1,65.573,5,TRAHSKG128F426A89A,Country
0.0,0.0,4,-12.892,1,120.92,1,TRAHTNH12903CAB43D,Country
0.0,0.0,0,-5.384,1,140.595,4,TRAHTZN128F421A41F,Country
0.0,0.0,2,-11.367,1,145.635,1,TRAHUVQ12903D05C14,Country
0.0,0.0,0,-7.659,1,170.079,1,TRAHVBF12903CB81F3,Country
0.0,0.0,2,-10.415,1,113.86,4,TRAHVRW128F92F15FE,Country
0.0,0.0,9,-9.018,1,88.942,4,TRAHXEG128F428F1EC,Country
0.0,0.0,0,-13.683,1,88.314,7,TRAICRD12903CDE044,Country
0.0,0.0,7,-6.697,0,114.041,4,TRAAAVG12903CFA543,Electronic
0.0,0.0,6,-6.486,0,125.006,4,TRAACIW12903CC0F6D,Electronic
